userName,content
Alamul Alamul,berita
Cucuk Furianto,mantap
Benny Wicaksono,selalu yg terdepan terupdate indonesia  sy pengguna       
Admin Sadulur,siplaj
Aji Brewok,mantap   berita nya lugas detil
Sandrinna Michelle Dari Jendela SMP,diego setiawan putra dari jendela smp detikcom   berita terkini
Nangin Pa,betitanya bagus update
Irawan Dony,bagus  
Sudarso Giman,detik oke   sukses
zad rozaqoh, 
Edwin Setiawan,good 
Tjong Hong Ciang,tolong iklan lazada dilenyapkan menganggu
Jonni Garingging,mantap   terdepan dlm pemberitaan update informasi diberitakan semoga independen berpihak politik praktis semakin cepat akurat informasi disampaikan  
Zeinbisri Official,top bgt gtl
Ayu Wandira,komentar bilangnya mengandung sensitif  apaan ni detik bgni 
Oma Ocha,bagus
Asmidar Emi,semoga berita bagus
arief prihartono,iklan ini  terkadang mengganggu membaca
Johnny Jhojo,ini ya beritanya skrg udah berhari hari muncul notifikasi nya  jd telat baca berita  kayak udah basi beritanya  jd bintang   lg lh  perbaiki donk
Umiyati Umi,sangat bagus
Ho Liem,isi britanya tr potong   iklan jadi sulit membacanya tolong jgan dipotong sblum lengkap brita tsb 
Frans Lesomar,good
Upi Murniati,iklannya mengganggu bikin malas bacanya
Jabolani 73,sj
Victor Alexander,beritta nua akurat
Farid Harja,sekarang iklan  kalau sebentar uninstall
Dedeh Laelasari,beritanya terbaru kalimat nya mudah dimengerti 
Mukhsin Admuta,banyak iklan  udah parah detik nih
Budi Prasojo,beritanya update
Toto Suwarto,detikcom bagus   beritanya dipercaya   
Fathur Rohman,detik com download hp redmi   hp  
Bernad Situmorang,menang
Sandi Sandi,baca berita online
Malto Payung allo,informasi ter akurat terpercaya   serta informasinya updated 
Welly Purwantoro,mantaap    
Must Fir,sementara karna iklan nyelonong   enakan versi dulu  berita nya baca tuntas klo hrs klik lagi  klik ribet
Raban hexa,sip mantap
Andrian Filusufi,ok
The Monk,update britanya
Reynovac,kebanyakan iklan pusing bacanya
Budi Yohanes,penyajian berita oke
IYAN AHMAD,tolong  tampilkan iklan aplikasi chat  meet  aplikasi vc  menampilkan gambar yg non edukatif bersifat seksual
ciemud ahmad,okelah uninstal saja  iklan ga ngotak
Warno Suwarno,detikcom sekarang beritanya makin mbulet   banyak sekali topik yang diulang   ulang dengan judul berbeda   beda sehingga makin kelihatan kalau kurang bahan berita   sekedar kejar tayang saja  baiknya diganti saja namanya dengan replaycom bukan detikcom  sbb detikcom membawa nama besar sang empunya ct corp si anak singkong bpk chairul tanjung 
Dwi S aja,sampah detikcom banjir iklan buka situs porno   iklan bandel ngelek hp
Loeby Galih,iklan banyak  ga ditutup  tulisan bertele tele  typo  lead yg isinya inti berita mlh kebanyakan narasi  parah detik parah 
Xuppu Zuppu,akhirnya apus nih aplikasi   gak kira  iklannya   baca   artikel udah iklan   bntar  iklan
Bernand Hakinen,iklannya nggak suka
Husein Thalib,ok bangat
Wahyudi Boyss66,saya suka beritanya menarik
Ibnu Handi,selalu menemani saya  semoga detikcom bagus berita berkualitas
Pengguna Google,kebanyakan iklan    
Basuki Pramana,beritanya bagus 
Haer Udin,untuk nambah pengetahuan dr bidang udh lengkap 
Mirna Wati,sy senang membaca detik kom krn beritanya hoak
Untara Pidada,cepat update berita
Wayan Suarja,beritanya up date
Budy Suryadi,ok update beritanya   cm tolong iklannya dihilangin
Azet Darma,sangat bagus berita nya
Takdir Muliono,jempol dah abis
suaramedia id,mantab
Irwansyah Sikumbang,informatif terpercaya
Ato Bralink,memudahkan cari berita     
mgs mulyadi,update beritanya bagus
Bertinus Teddy,aplikasi berita akurat detik detik    dan berita hoax   
emil chairil,cakeep    berita nya berimbang   maju teruus
Franklin G,bagus aja
saiful Bahri,saubhanallaah  alhamdulillah   sungguh aplikasi bagus dn bermanfaat  
Khadir Tuheteru,suka
Deddy Suhendy,cukup simple 
Bahrudinyusuf Fanani,sm
Mohamad Fakhrrurrozi,up to date
Tong Mulyadi,beritanya terupdate mantul   
syam nursyamsiah,parah kebangetan tim pengembang abis update ga kebuka   pdahl udh    th liat detik zaman java sampe android
Forza 321,aaqt               twa     yk   
Ecolink 77,terlalu parah iklan nya   baru pencet iklan  scrol iklan     parah unistall aja ganti kompas dll
Sri Santoso Santoso,semakin ke depan semakin ngaco   
I Nyoman Buana,jangan iklan jd pusing
Maria demi Sitohang,
Ali Nurdin,beritanya uptodate
Garis Misteri,jadi pengen gabung detik
surya kumar,mantaps
sidik pramono,sudah ditingkatkan
Sahabat Kite,menambah wawasan
budi yuniawan,tingkatkan bner  detik update bola nya  
Muhammad Thohirudin,mantul
Okky Ariyanto,usele  application     cheating apps  stolen quota only
Alamsyah Danil,    ee
Kaka One,update terus  mantap   
MV.services Vivo S1,beritanya aktual independen tdk tendensius
Bambang Subiyantoro,memotivasi kerja untk hidup
